Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_PI_211A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-3.7718387";Good;0;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_PI_211B_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_TI_200A_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_TI_200D_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"308.3305";Good;0;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_TI_200G_Value";Mon Aug 21 2023 05:03:39 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_TI_208A_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_TI_208C_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_TI_208E_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_TI_208F_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_TI_209A_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_TI_209C_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_TI_216A_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_TI_216B_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_TI_216C_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_ZI_201A_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_ZI_202A_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_ZI_203A_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_ZI_204A_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_ZI_205A_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_ZI_206A_Value";Mon Aug 21 2023 05:31:19 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam2.Boiler2_ZI_207A_Value";Mon Aug 21 2023 05:31:44 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_312_State";Fri Aug 18 2023 09:48:47 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_313_State";Fri Aug 18 2023 09:48:47 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_314_State";Fri Aug 18 2023 09:48:47 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_FI_300C_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"29.52219";Good;0;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_FI_300F_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"28.846067";Good;0;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_FI_300R_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-0.63297236";Good;0;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_LI_310A_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_PI_300B_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_PI_300E_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_PI_300H_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_PI_300I_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-147.58911";Good;0;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_PI_308B_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_PI_308D_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_PI_309B_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_PI_310B_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_PI_311A_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-3.3573503";Good;0;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_PI_311B_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_TI_300A_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_TI_300D_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"355.5688";Good;0;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_TI_300G_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_TI_308A_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_TI_308C_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
