Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"DB25_DBW52";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"690";Good;0;"";"";
"BRAZ.LP.LO2.LA4.MS5.N1";;"";;;"";"";
"BRAZ.LP.LO2.LA4.MS6.N2";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N3";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N4";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N5";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N6";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N7";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N8";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS1.N9";;"";;;"";"";
"BRAZ.LP.LO2.LA4.CS2.N10";;"";;;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.40007.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"52";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.40008.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"20";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.40009.PV.R";Wed Aug 16 2023 03:17:04 GMT+0300 (Москва, стандартное время);"50";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.40010.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"39";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.40011.PV.R";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"3276";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.MD40.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"729.469970703125";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.T.MD48.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"773.8699951171875";Good;0;"";"";
"KRAZ.LP.L1.LA5.MIKT05.T.S.I16_3.PV.R";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"KRAZ.LP.L1.LA7.MIKV07.T.T.MD36.PV.R";Wed Aug 16 2023 03:10:19 GMT+0300 (Москва, стандартное время);"721.72998046875";Good;0;"";"";
"KRAZ.LP.L1.LA7.MIKV07.T.T.MD20.PV.R";Wed Aug 16 2023 03:21:19 GMT+0300 (Москва, стандартное время);"762.8299560546875";Good;0;"";"";
"KRAZ.LP.L1.LA7.MIKV07.T.S.I16_0.PV.R";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"KRAZ.LP.L2.LC3.LITP05.T.F.DB5_DBD66.PV.R";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"KRAZ.LP.L2.LC3.LITP05.T.F.DB239_DBD164.PV.R";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"16";Good;0;"";"";
"KRAZ.LP.L2.LC3.LITP05.T.L.DB5_DBD56.PV.R";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"4974.697265625";Good;0;"";"";
"KRAZ.LP.L2.LC3.LITP05.T.T.DB238_DBD104.PV.R";Wed Aug 16 2023 03:19:49 GMT+0300 (Москва, стандартное время);"21.208599090576172";Good;0;"";"";
"KRAZ.LP.L2.LC3.LITY06.T.F.DB6_DBD66.PV.R";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"0";Good;0;"";"";
"KRAZ.LP.L2.LC3.LITY06.T.F.DB240_DBD100.PV.R";Tue Aug 15 2023 12:41:33 GMT+0300 (Москва, стандартное время);"1.401298464324817e-42";Good;0;"";"";
